il,yil,tarim,sanayi,hizmetler,sektör toplam,vergi-sübvansiyon,gdp
,2012,    1 017 710,    2 910 851,    2 889 363,    6 817 924,     906 781,    7 724 705
,2013,    1 068 476,    3 278 984,    3 166 756,    7 514 216,    1 063 567,    8 577 784
,2014,    1 280 388,    3 649 629,    3 503 337,    8 433 354,    1 101 985,    9 535 339
,2015,    1 311 837,    4 096 393,    3 840 233,    9 248 463,    1 247 297,    10 495 761
,2016,    1 310 944,    4 516 324,    4 424 449,    10 251 717,    1 380 763,    11 632 481
,2017,    1 431 321,    5 551 504,    5 126 387,    12 109 212,    1 556 827,    13 666 040
,,,,,,,
Balikesir,2004,    1 544 359,    1 570 356,    4 106 600,    7 221 315,    1 042 044,    8 263 358
,2005,    1 810 270,    1 877 226,    4 807 017,    8 494 513,    1 232 969,    9 727 481
,2006,    1 715 671,    2 122 982,    5 743 668,    9 582 321,    1 373 977,    10 956 297
,2007,    1 767 286,    2 478 852,    6 494 950,    10 741 088,    1 379 420,    12 120 508
,2008,    2 255 540,    2 886 214,    7 343 386,    12 485 141,    1 538 637,    14 023 777
,2009,    2 395 371,    3 035 948,    7 592 822,    13 024 140,    1 580 137,    14 604 277
,2010,    2 959 656,    3 435 500,    8 123 613,    14 518 770,    1 994 419,    16 513 189
,2011,    3 246 237,    4 276 316,    9 309 581,    16 832 133,    2 302 215,    19 134 348
,2012,    3 207 029,    5 000 546,    10 297 706,    18 505 281,    2 461 195,    20 966 476
,2013,    2 967 862,    5 783 039,    11 276 349,    20 027 251,    2 834 671,    22 861 922
,2014,    3 651 909,    6 685 377,    12 748 322,    23 085 608,    3 016 593,    26 102 201
,2015,    3 625 155,    7 624 593,    14 051 058,    25 300 807,    3 412 203,    28 713 009
,2016,    4 256 689,    8 662 556,    15 877 414,    28 796 660,    3 878 508,    32 675 168
,2017,    5 152 895,    10 566 765,    18 454 795,    34 174 455,    4 393 658,    38 568 113
,,,,,,,
Canakkale,2004,     965 057,     799 159,    1 706 370,    3 470 586,     500 809,    3 971 395
,2005,    1 151 870,     957 936,    1 979 549,    4 089 355,     593 565,    4 682 921
,2006,    1 125 348,    1 185 176,    2 374 907,    4 685 431,     671 828,    5 357 259
,2007,    1 256 954,    1 335 502,    2 706 263,    5 298 719,     680 486,    5 979 205
,2008,    1 391 963,    1 563 015,    3 049 882,    6 004 860,     740 024,    6 744 883
,2009,    1 350 447,    1 433 061,    3 154 997,    5 938 506,     720 481,    6 658 987
,2010,    2 001 428,    1 799 972,    3 447 307,    7 248 707,     995 743,    8 244 449
,2011,    2 163 526,    2 432 318,    3 958 533,    8 554 377,    1 170 025,    9 724 402
,2012,    2 302 706,    2 619 335,    4 454 094,    9 376 135,    1 247 022,    10 623 157
,2013,    2 129 470,    3 270 485,    4 881 451,    10 281 407,    1 455 237,    11 736 644
,2014,    2 586 905,    3 809 043,    5 548 267,    11 944 215,    1 560 749,    13 504 964
,2015,    2 812 830,    4 238 585,    6 153 244,    13 204 659,    1 780 851,    14 985 511
,2016,    2 927 553,    4 971 885,    7 056 630,    14 956 068,    2 014 374,    16 970 442
,2017,    3 288 141,    6 285 102,    8 243 559,    17 816 802,    2 290 627,    20 107 429
,,,,,,,
Izmir,2004,    2 046 164,    11 469 913,    19 473 869,    32 989 946,    4 760 485,    37 750 431
,2005,    2 076 361,    13 320 457,    22 638 184,    38 035 002,    5 520 737,    43 555 739
,2006,    2 473 745,    15 927 196,    26 794 813,    45 195 754,    6 480 467,    51 676 220
,2007,    2 358 137,    17 196 773,    30 279 515,    49 834 425,    6 399 968,    56 234 393
,2008,    2 733 309,    18 476 105,    34 445 770,    55 655 184,    6 858 802,    62 513 987
,2009,    2 928 466,    16 490 958,    35 492 378,    54 911 802,    6 662 103,    61 573 905
,2010,    4 096 265,    19 964 411,    38 856 461,    62 917 137,    8 642 823,    71 559 960
,2011,    4 421 702,    26 627 867,    45 393 542,    76 443 111,    10 455 505,    86 898 616
,2012,    4 848 080,    30 595 096,    51 100 778,    86 543 954,    11 510 311,    98 054 265
,2013,    4 739 012,    36 762 802,    57 365 491,    98 867 305,    13 993 746,    112 861 051
,2014,    6 098 807,    41 722 393,    64 881 423,    112 702 624,    14 726 836,    127 429 459
,2015,    6 681 906,    45 772 134,    72 552 340,    125 006 380,    16 859 033,    141 865 413
,2016,    7 221 983,    50 955 540,    81 667 304,    139 844 827,    18 835 147,    158 679 974
,2017,    8 372 752,    63 832 622,    97 450 663,    169 656 037,    21 811 921,    191 467 959
,,,,,,,
Aydin,2004,    1 517 954,    1 177 793,    2 802 857,    5 498 604,     793 455,    6 292 059
,2005,    1 374 185,    1 275 452,    3 451 246,    6 100 883,     885 536,    6 986 419
,2006,    1 813 073,    1 519 711,    4 077 699,    7 410 483,    1 062 564,    8 473 047
,2007,    1 315 164,    1 700 369,    4 698 231,    7 713 764,     990 637,    8 704 401
,2008,    1 634 743,    1 832 895,    5 236 698,    8 704 336,    1 072 700,    9 777 036
,2009,    1 619 038,    1 726 147,    5 404 140,    8 749 326,    1 061 501,    9 810 827
,2010,    2 107 132,    2 037 774,    5 989 987,    10 134 893,    1 392 213,    11 527 106
,2011,    2 326 734,    2 616 682,    6 975 765,    11 919 181,    1 630 246,    13 549 427
,2012,    2 738 528,    2 984 574,    7 803 014,    13 526 115,    1 798 968,    15 325 083
,2013,    2 879 017,    3 522 202,    8 761 283,    15 162 503,    2 146 111,    17 308 614
,2014,    3 274 911,    4 111 601,    10 057 159,    17 443 672,    2 279 362,    19 723 034
,2015,    3 730 016,    4 712 652,    11 214 405,    19 657 073,    2 651 059,    22 308 132
,2016,    3 757 164,    5 619 792,    12 683 775,    22 060 732,    2 971 273,    25 032 004
,2017,    4 874 614,    6 992 874,    14 861 002,    26 728 490,    3 436 363,    30 164 852
,,,,,,,
Denizli,2004,    1 020 077,    2 897 225,    2 809 919,    6 727 221,     970 745,    7 697 966
,2005,    1 084 881,    2 845 821,    3 382 576,    7 313 278,    1 061 514,    8 374 792
,2006,    1 210 959,    3 447 144,    4 058 728,    8 716 831,    1 249 877,    9 966 708
,2007,    1 198 072,    3 573 903,    4 656 789,    9 428 765,    1 210 886,    10 639 650
,2008,    1 459 638,    3 654 908,    5 212 281,    10 326 827,    1 272 652,    11 599 478
,2009,    1 574 118,    3 192 094,    5 177 432,    9 943 644,    1 206 400,    11 150 044
,2010,    2 027 676,    3 794 875,    5 775 331,    11 597 882,    1 593 182,    13 191 064
,2011,    2 400 401,    5 112 414,    6 720 664,    14 233 479,    1 946 784,    16 180 263
,2012,    2 698 136,    5 522 271,    7 710 944,    15 931 351,    2 118 863,    18 050 215
,2013,    2 664 621,    6 886 092,    8 745 238,    18 295 951,    2 589 622,    20 885 573
,2014,    3 068 133,    8 111 317,    10 096 107,    21 275 557,    2 780 074,    24 055 631
,2015,    2 838 802,    9 091 854,    11 386 718,    23 317 375,    3 144 707,    26 462 081
,2016,    3 125 044,    10 496 415,    12 981 048,    26 602 508,    3 582 987,    30 185 494
,2017,    3 562 692,    13 257 725,    15 238 943,    32 059 360,    4 121 729,    36 181 089
,,,,,,,
Mugla,2004,    1 303 561,     946 935,    3 677 345,    5 927 841,     855 394,    6 783 235
,2005,    1 473 070,    1 164 588,    4 352 796,    6 990 453,    1 014 656,    8 005 110
,2006,    1 723 257,    1 487 066,    5 183 608,    8 393 932,    1 203 578,    9 597 509
,2007,    1 539 516,    1 736 451,    5 871 946,    9 147 913,    1 174 817,    10 322 730
,2008,    1 691 591,    1 967 743,    6 629 752,    10 289 086,    1 268 001,    11 557 087
,2009,    1 911 630,    1 845 347,    6 777 212,    10 534 190,    1 278 047,    11 812 237
,2010,    2 586 030,    2 134 137,    7 652 443,    12 372 610,    1 699 605,    14 072 215
,2011,    2 839 983,    2 696 046,    9 242 912,    14 778 941,    2 021 389,    16 800 330
,2012,    2 801 610,    3 182 281,    10 450 916,    16 434 807,    2 185 823,    18 620 630
,2013,    2 693 293,    3 711 575,    11 924 099,    18 328 967,    2 594 295,    20 923 262
,2014,    3 303 531,    3 952 770,    13 819 565,    21 075 866,    2 753 980,    23 829 846
,2015,    4 027 099,    4 182 764,    15 600 845,    23 810 708,    3 211 240,    27 021 948
,2016,    4 309 857,    4 855 079,    16 690 939,    25 855 875,    3 482 426,    29 338 301
,2017,    5 029 055,    6 054 746,    19 828 229,    30 912 030,    3 974 222,    34 886 252
,,,,,,,
Manisa,2004,    1 950 830,    3 288 403,    3 385 387,    8 624 621,    1 244 542,    9 869 163
,2005,    2 433 324,    4 112 013,    3 919 356,    10 464 693,    1 518 938,    11 983 632
,2006,    2 588 482,    4 803 325,    4 683 049,    12 074 856,    1 731 373,    13 806 228
,2007,    2 505 812,    5 040 518,    5 283 243,    12 829 573,    1 647 633,    14 477 206
,2008,    3 336 687,    5 406 618,    6 116 713,    14 860 018,    1 831 311,    16 691 329
,2009,    3 510 883,    5 402 952,    6 053 009,    14 966 844,    1 815 833,    16 782 677
,2010,    3 806 397,    5 806 912,    6 503 464,    16 116 773,    2 213 934,    18 330 708
,2011,    3 812 750,    7 488 883,    7 464 565,    18 766 198,    2 566 746,    21 332 945
,2012,    6 210 693,    8 516 526,    8 493 392,    23 220 611,    3 088 332,    26 308 943
,2013,    5 430 201,    10 283 083,    9 682 746,    25 396 030,    3 594 572,    28 990 602
,2014,    6 553 876,    11 540 690,    11 213 511,    29 308 077,    3 829 682,    33 137 759
,2015,    6 844 485,    13 609 221,    12 639 842,    33 093 548,    4 463 174,    37 556 721
,2016,    7 224 246,    15 505 282,    14 403 936,    37 133 464,    5 001 360,    42 134 824
,2017,    7 397 606,    19 719 067,    16 912 542,    44 029 216,    5 660 640,    49 689 856
,,,,,,,
Afyon,2004,    1 037 049,     594 214,    1 808 201,    3 439 464,     496 318,    3 935 782
,2005,    1 101 467,     700 294,    2 102 549,    3 904 309,     566 706,    4 471 015
,2006,    1 218 063,     838 804,    2 464 456,    4 521 323,     648 297,    5 169 620
,2007,    1 369 492,     955 897,    2 774 694,    5 100 083,     654 976,    5 755 059
,2008,    1 517 397,    1 094 108,    3 186 516,    5 798 021,     714 533,    6 512 554
,2009,    1 678 991,    1 038 147,    3 225 458,    5 942 596,     720 978,    6 663 574
,2010,    2 174 554,    1 264 946,    3 448 397,    6 887 897,     946 179,    7 834 077
,2011,    2 364 441,    1 561 964,    3 967 253,    7 893 659,    1 079 655,    8 973 314
,2012,    2 468 164,    1 802 502,    4 466 820,    8 737 486,    1 162 082,    9 899 568
,2013,    2 627 799,    2 156 203,    5 051 990,    9 835 992,    1 392 193,    11 228 185
,2014,    3 067 989,    2 533 650,    5 786 778,    11 388 417,    1 488 123,    12 876 539
,2015,    3 484 645,    2 921 803,    6 419 903,    12 826 351,    1 729 831,    14 556 182
,2016,    3 561 875,    3 376 478,    7 347 862,    14 286 216,    1 924 154,    16 210 370
,2017,    3 412 117,    4 277 349,    8 611 295,    16 300 760,    2 095 716,    18 396 477
,,,,,,,
Kutahya,2004,     601 977,     857 378,    1 546 673,    3 006 028,     433 773,    3 439 801
,2005,     662 653,    1 068 566,    1 794 098,    3 525 316,     511 696,    4 037 011
,2006,     638 474,    1 292 938,    2 147 136,    4 078 547,     584 809,    4 663 356
,2007,     691 479,    1 511 404,    2 429 080,    4 631 964,     594 858,    5 226 822
,2008,     845 137,    1 824 654,    2 825 164,    5 494 955,     677 184,    6 172 139
,2009,     811 449,    1 794 084,    2 840 091,    5 445 624,     660 683,    6 106 308
,2010,    1 028 521,    2 103 545,    3 047 190,    6 179 257,     848 834,    7 028 091
,2011,    1 180 161,    2 484 875,    3 536 871,    7 201 907,     985 041,    8 186 947
,2012,    1 118 248,    2 706 604,    4 040 048,    7 864 901,    1 046 029,    8 910 930
,2013,    1 150 364,    3 094 855,    4 580 931,    8 826 150,    1 249 259,    10 075 409
,2014,    1 349 427,    3 457 476,    5 206 086,    10 012 988,    1 308 396,    11 321 384
,2015,    1 461 765,    3 927 131,    5 741 611,    11 130 507,    1 501 120,    12 631 627
,2016,    1 491 743,    4 382 370,    6 420 027,    12 294 139,    1 655 849,    13 949 989
,2017,    1 765 753,    5 329 685,    7 358 928,    14 454 367,    1 858 334,    16 312 701
,,,,,,,
Usak,2004,     381 964,     601 806,     845 496,    1 829 266,     263 965,    2 093 231
,2005,     400 387,     643 558,     989 653,    2 033 598,     295 174,    2 328 773
,2006,     400 609,     771 482,    1 183 904,    2 355 995,     337 818,    2 693 813
,2007,     377 909,     884 977,    1 338 559,    2 601 445,     334 090,    2 935 535
,2008,     547 862,    1 019 031,    1 558 430,    3 125 323,     385 157,    3 510 480
,2009,     570 759,    1 035 176,    1 591 007,    3 196 942,     387 865,    3 584 806
,2010,     762 475,    1 274 228,    1 723 897,    3 760 600,     516 587,    4 277 188
,2011,     835 218,    1 812 345,    2 004 800,    4 652 362,     636 327,    5 288 689
,2012,     878 363,    2 072 234,    2 319 392,    5 269 990,     700 907,    5 970 896
,2013,     883 276,    2 447 107,    2 624 899,    5 955 283,     842 915,    6 798 197
,2014,     922 995,    2 836 459,    2 985 649,    6 745 103,     881 382,    7 626 484
,2015,    1 005 745,    2 933 369,    3 367 463,    7 306 577,     985 404,    8 291 981
,2016,    1 088 232,    3 330 154,    3 902 730,    8 321 116,    1 120 738,    9 441 855
,2017,    1 233 049,    4 298 762,    4 563 812,    10 095 623,    1 297 949,    11 393 572
,,,,,,,
Bursa,2004,    1 514 811,    8 836 965,    9 547 524,    19 899 300,    2 871 490,    22 770 790
,2005,    1 885 700,    10 451 850,    11 265 824,    23 603 374,    3 426 002,    27 029 377
,2006,    1 834 207,    12 509 143,    13 688 977,    28 032 327,    4 019 461,    32 051 788
,2007,    1 919 799,    14 281 006,    15 541 894,    31 742 699,    4 076 545,    35 819 244
,2008,    1 963 760,    16 035 900,    17 844 517,    35 844 177,    4 417 345,    40 261 521
,2009,    2 249 820,    14 492 448,    18 396 584,    35 138 852,    4 263 176,    39 402 028
,2010,    2 284 333,    17 258 336,    20 049 455,    39 592 124,    5 438 705,    45 030 829
,2011,    2 631 825,    22 793 565,    23 290 569,    48 715 959,    6 663 124,    55 379 083
,2012,    3 201 033,    25 130 730,    26 590 548,    54 922 311,    7 304 645,    62 226 956
,2013,    3 122 918,    29 510 640,    30 919 920,    63 553 478,    8 995 403,    72 548 881
,2014,    3 917 755,    34 148 336,    35 146 647,    73 212 738,    9 566 698,    82 779 436
,2015,    4 167 612,    39 322 251,    39 610 142,    83 100 006,    11 207 314,    94 307 320
,2016,    4 251 456,    44 113 247,    44 728 166,    93 092 868,    12 538 311,    105 631 178
,2017,    5 274 788,    54 632 210,    53 142 680,    113 049 679,    14 534 294,    127 583 972
,,,,,,,
Eskisehir,2004,     749 006,    1 782 509,    2 889 157,    5 420 671,     782 209,    6 202 880
,2005,     825 255,    2 263 180,    3 443 476,    6 531 910,     948 099,    7 480 009
,2006,     808 729,    2 823 096,    4 146 818,    7 778 643,    1 115 353,    8 893 996
,2007,     815 480,    3 269 018,    4 739 350,    8 823 848,    1 133 200,    9 957 048
,2008,     860 038,    3 712 673,    5 439 058,    10 011 769,    1 233 825,    11 245 593
,2009,    1 006 039,    3 444 548,    5 610 401,    10 060 989,    1 220 636,    11 281 625
,2010,    1 138 777,    3 914 763,    6 241 198,    11 294 738,    1 551 539,    12 846 277
,2011,    1 232 551,    5 096 347,    7 319 259,    13 648 156,    1 866 726,    15 514 882
,2012,    1 286 892,    5 819 964,    8 467 438,    15 574 294,    2 071 375,    17 645 669
,2013,    1 532 713,    6 917 537,    9 792 491,    18 242 742,    2 582 090,    20 824 832
,2014,    1 453 637,    8 052 770,    11 041 342,    20 547 749,    2 684 971,    23 232 720
,2015,    1 731 265,    9 204 717,    12 232 677,    23 168 659,    3 124 650,    26 293 309
,2016,    1 913 276,    10 318 892,    13 700 587,    25 932 755,    3 492 780,    29 425 535
,2017,    2 170 298,    12 687 763,    15 848 630,    30 706 691,    3 947 822,    34 654 513
,,,,,,,
Bilecik,2004,     272 246,     799 457,     659 852,    1 731 555,     249 865,    1 981 420
,2005,     319 954,    1 011 344,     780 892,    2 112 190,     306 582,    2 418 772
,2006,     306 823,    1 249 073,     932 074,    2 487 971,     356 742,    2 844 713
,2007,     317 835,    1 508 267,    1 068 217,    2 894 319,     371 702,    3 266 021
,2008,     372 334,    1 610 188,    1 226 837,    3 209 360,     395 513,    3 604 873
,2009,     392 475,    1 448 092,    1 251 546,    3 092 113,     375 147,    3 467 260
,2010,     476 517,    1 683 938,    1 336 653,    3 497 108,     480 392,    3 977 500
,2011,     498 840,    2 118 179,    1 548 169,    4 165 187,     569 693,    4 734 881
,2012,     495 649,    2 322 265,    1 799 222,    4 617 136,     614 077,    5 231 214
,2013,     489 817,    2 811 290,    2 124 835,    5 425 942,     767 992,    6 193 933
,2014,     526 941,    3 165 405,    2 345 731,    6 038 077,     788 995,    6 827 072
,2015,     567 809,    3 493 354,    2 545 228,    6 606 391,     890 973,    7 497 365
,2016,     570 491,    3 895 424,    2 797 326,    7 263 241,     978 257,    8 241 498
,2017,     709 258,    4 531 689,    3 186 104,    8 427 051,    1 083 428,    9 510 480
,,,,,,,
Kocaeli,2004,     249 773,    6 921 116,    7 250 068,    14 420 957,    2 080 960,    16 501 916
,2005,     297 034,    8 588 427,    8 570 430,    17 455 891,    2 533 702,    19 989 593
,2006,     317 599,    10 926 013,    10 421 042,    21 664 653,    3 106 422,    24 771 075
,2007,     340 779,    12 700 160,    11 974 133,    25 015 071,    3 212 551,    28 227 623
,2008,     405 966,    14 743 088,    13 895 331,    29 044 385,    3 579 356,    32 623 740
,2009,     445 369,    13 107 200,    13 910 084,    27 462 653,    3 331 871,    30 794 523
,2010,     569 844,    16 024 042,    15 977 793,    32 571 680,    4 474 318,    37 045 997
,2011,     613 662,    22 073 990,    19 487 643,    42 175 295,    5 768 525,    47 943 820
,2012,     608 578,    23 528 195,    23 392 581,    47 529 355,    6 321 385,    53 850 740
,2013,     596 159,    28 392 404,    27 820 645,    56 809 208,    8 040 814,    64 850 022
,2014,     667 407,    33 573 632,    31 174 242,    65 415 281,    8 547 805,    73 963 086
,2015,     760 329,    38 489 112,    36 072 859,    75 322 299,    10 158 371,    85 480 670
,2016,     720 629,    42 721 532,    41 311 539,    84 753 700,    11 415 141,    96 168 842
,2017,     877 552,    56 095 920,    49 421 467,    106 394 938,    13 678 723,    120 073 662
,,,,,,,
Sakarya,2004,     717 474,    2 159 421,    2 455 080,    5 331 975,     769 410,    6 101 385
,2005,     795 261,    2 586 072,    2 882 095,    6 263 428,     909 129,    7 172 557
,2006,     872 458,    3 100 323,    3 545 755,    7 518 536,    1 078 058,    8 596 594
,2007,     781 575,    3 514 493,    4 033 122,    8 329 190,    1 069 673,    9 398 863
,2008,     997 824,    3 822 781,    4 693 638,    9 514 243,    1 172 511,    10 686 754
,2009,    1 069 889,    3 474 476,    4 870 959,    9 415 325,    1 142 302,    10 557 627
,2010,    1 294 851,    4 043 651,    5 391 239,    10 729 741,    1 473 927,    12 203 668
,2011,    1 276 717,    5 280 981,    6 419 029,    12 976 726,    1 774 891,    14 751 618
,2012,    1 650 305,    5 950 141,    7 376 352,    14 976 798,    1 991 908,    16 968 706
,2013,    1 411 166,    7 312 339,    8 544 866,    17 268 370,    2 444 177,    19 712 547
,2014,    1 757 954,    8 617 678,    9 553 625,    19 929 258,    2 604 153,    22 533 411
,2015,    2 320 951,    10 062 816,    10 886 211,    23 269 978,    3 138 314,    26 408 292
,2016,    1 994 955,    11 396 673,    12 543 095,    25 934 723,    3 493 045,    29 427 768
,2017,    2 328 340,    14 432 114,    14 888 694,    31 649 148,    4 068 990,    35 718 138
,,,,,,,
Duzce,2004,     267 758,     721 645,     929 673,    1 919 076,     276 925,    2 196 001
,2005,     273 420,     842 003,    1 093 752,    2 209 176,     320 659,    2 529 835
,2006,     311 186,    1 053 115,    1 349 962,    2 714 263,     389 189,    3 103 452
,2007,     299 681,    1 242 594,    1 536 027,    3 078 302,     395 330,    3 473 631
,2008,     370 712,    1 391 522,    1 794 904,    3 557 138,     438 373,    3 995 511
,2009,     359 899,    1 273 364,    1 822 196,    3 455 459,     419 229,    3 874 688
,2010,     477 631,    1 482 176,    2 019 580,    3 979 387,     546 642,    4 526 029
,2011,     473 769,    1 862 301,    2 430 641,    4 766 711,     651 967,    5 418 678
,2012,     642 053,    2 118 853,    2 875 012,    5 635 918,     749 575,    6 385 493
,2013,     486 315,    2 480 307,    3 406 059,    6 372 682,     901 994,    7 274 675
,2014,     692 913,    3 025 953,    3 795 314,    7 514 179,     981 877,    8 496 056
,2015,    1 138 700,    3 404 673,    4 339 905,    8 883 278,    1 198 047,    10 081 325
,2016,     801 839,    3 850 471,    4 930 585,    9 582 895,    1 290 682,    10 873 578
,2017,     961 643,    4 562 169,    5 696 006,    11 219 818,    1 442 482,    12 662 300
,,,,,,,
Bolu,2004,     448 766,     693 590,    1 151 369,    2 293 725,     330 987,    2 624 712
,2005,     521 811,     814 091,    1 355 474,    2 691 375,     390 650,    3 082 025
,2006,     540 434,     954 630,    1 628 014,    3 123 078,     447 808,    3 570 886
,2007,     510 229,    1 077 577,    1 836 956,    3 424 762,     439 824,    3 864 585
,2008,     540 920,    1 207 821,    2 151 545,    3 900 286,     480 661,    4 380 947
,2009,     569 137,    1 196 904,    2 164 869,    3 930 909,     476 912,    4 407 822
,2010,     722 539,    1 323 173,    2 350 928,    4 396 640,     603 959,    5 000 599
,2011,     844 593,    1 642 316,    2 799 476,    5 286 386,     723 045,    6 009 431
,2012,     756 913,    1 889 627,    3 260 220,    5 906 760,     785 597,    6 692 357
,2013,     748 586,    2 210 311,    3 806 011,    6 764 908,     957 510,    7 722 417
,2014,    1 004 121,    2 520 869,    4 183 200,    7 708 191,    1 007 228,    8 715 419
,2015,    1 116 755,    2 797 067,    4 611 334,    8 525 157,    1 149 749,    9 674 905
